sentiment,text
neutral,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed ."
neutral,Commodities futures now part of supply chain
neutral,Unusual trades in December series Nifty options under Sebi lens
neutral,"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications ."
neutral,IFC launches $2.5 billion 'rupee-denominated' bonds for infrastructure projects in India
neutral,"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market ."
neutral,Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .
neutral,The estimated annual value of the frame agreement is about EUR 50mn .
neutral,"Matrix Partners, Avigo eye returns of over 2.5 times on their investments"
neutral,"First Industrial will seek LEED designation for Uponor 's new building and a 282,000 square-foot speculative distribution center at First Park Lakeville ."
neutral,Feed companies Suomen Rehu and Raisio do no import GMO feed .
neutral,Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .
neutral,Sebi allows Pune Stock Exchange to exit bourse business
neutral,Sensex at 25000 on election results day? Brokers get cold feet
neutral,"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people ."
neutral,Dish TV posts loss of Rs 16.05 crore in Q1
neutral,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .
neutral,"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced ."
neutral,"Neste Oil said it will build a biodiesel production facility in Rotterdam , the Netherlands , at an estimated cost of 670 million euros , naming France-based Technip as the project 's main contractor ."
neutral,"BSE to auction government bonds worth Rs 3,208 crore on Thursday"
neutral,ICICIdirect Centre for Financial Learning launches StockMIND Season 4
neutral,Today's Bet: 5100-5300 level crucial for Nifty
neutral,Finnish fibre-based materials maker Ahlstrom Corp ( HEL : AHL1V ) said today it decided to close down its spunlace composite production line number 23 at Chirnside plant in the UK by the end of March 2011 .
neutral,Alkem Laboratories eyes $210 million IPO in December: Sources
neutral,"Videocon d2h lists on Nasdaq, raises $325 million"
neutral,`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .
neutral,Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .
neutral,"The approximately 20,000 dwt vessel has been ordered from India ."
neutral,Fertiliser stocks should be looked only after any move on deregulation: Ashwani Gujral
neutral,"Trade cautiously in 500 illiquid stocks: NSE, BSE"
neutral,Yes Bank wrangle may be solved out of court
neutral,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing ."
neutral,Race hots up for U K Sinha's successor
neutral,SpiceJet makes top-level changes
neutral,Selection panel for Sebi chief reset; PMO nominee included
neutral,"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance ."
neutral,Neutral on Reliance: Kimeng Securities
neutral,Why does high-speed rail remain elusive in the US?
neutral,"February 3, 2014: Mecklai Financial report on rupee"
neutral,"The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco ."
neutral,Court order on NK Proteins MDs bail plea today
neutral,China markets calm in thin trade
neutral,Oil marketing companies to procure Rs 97-crore litre ethanol
neutral,"Viking Line has also been forced to alter its timetable so that ferries traveling from Stockholm to Helsinki , Finland , only depart at night ."
neutral,GVK Hancock names Darren Yeates  as CEO
neutral,"As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms ."
neutral,Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .
neutral,Sanjay Kapoor joins PVR Cinemas board as director
neutral,Sensex rangebound on the first trading day of 2015; top twelve stocks in focus
neutral,"The Bank of +_land acquired the private banking business , asset management , and share brokerage business of Kaupthing Sweden in early 2009 ."
neutral,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia ."
neutral,"There are currently some ten shops selling Tikkurila 's paints in Kazakhstan , and more shops will be opened continuously ."
neutral,"We bring a new , committed leadership and business and strategic know-how to the company that we buy ."
neutral,Cholamandalam gets Board approval for raising Rs 500 crore
neutral,Recent correction should bring back foreign investors to India'
neutral,Pre-market: Nifty likely to open gap-down on Greece woes
neutral,"TCS Q4 profit seen at Rs 5,397 cr QoQ"
neutral,"Pipavav is steady: Ambareesh Baliga, Way2Wealth Brokers Pvt. Ltd"
neutral,Reckitt Benckiser names Nitish Kapoor as India MD
neutral,Market likely to drift sideways: Ashwani Gujral
neutral,"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught ."
neutral,IOD Fellowship to ONGC chairman Sudhir Vasudeva
neutral,"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 ."
neutral,Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .
neutral,Glenmark Pharma posts FY11 net at Rs 457.83 cr
neutral,Government plans to curb RBI role in financial markets
neutral,The issuer is solely responsible for the content of this announcement .
neutral,"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-£323-£6201 USA ."
neutral,Bharti Retail appoints Craig Wimsatt as COO
neutral,"IIFCL to raise up to Rs 1,200 cr from infra bond issue"
neutral,"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market ."
neutral,It is planned to set up the A class business center in the two top storeys of the complex .
neutral,RBI is helping govt gold monetisation scheme take off
neutral,Rs 15.26 crore dividend cheque from REPCO Bank
neutral,Malaysia tycoon Ananda Krishnan in talks to take key stake in 1MDB $3-billion IPO: Sources
neutral,Market remains stock specific: Mitesh Thacker
neutral,Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .
neutral,SRL files draft prospectus with Sebi for IPO
neutral,IDFs can extend schemes' tenure by up to 2 years: Sebi
neutral,"With sales of $ 12.7 billion over the last twelve months ending October , 2010 and over 9,200 stores in 35 states , Dollar General is the nation 's largest small box discount retailer ."
neutral," The EU General Court dealt a potential setback to the European Commission's campaign against corporate tax avoidance by annulling an order for Belgian tax break schemes worth about 700 million euros to multinational firms, including Fiat Chrysler, Amazon, Engie, and Apple. The court ruled that the EU executive"
neutral,5150-5300 the big base for Nifty this year: IL&FS
neutral,A CUT ABOVE Bring the outdoors in with these birch-branch coasters .
neutral,Radiation and today is a full service house expert in radiation and nuclear safety issues .
neutral,Jimmy Choo IPO pricing values firm at up to $1.1 billion
neutral,"Which is better, real estate or stocks?"
neutral,"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes ."
neutral,"Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO ."
neutral,Market movers: Top 5 policy triggers government initiated in November
neutral,"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business ."
neutral,"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 ."
neutral,Steel prices remain flat in lacklustre trade
neutral,"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging ."
neutral,How to play Tata Consultancy Services stock ahead of Q4 results
neutral,Milestone Capital withdraws IPO application
neutral,Leakgate: Sebi says probing complaints of insider trading
neutral,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery
neutral," The S&P 500 slipped on Thursday, ending a three-day winning streak, as uncertainty over the timing of a US-China trade deal persisted. US President Donald Trump and Treasury Secretary Steven Mnuchin stated that discussions were progressing quickly, but no final deal was imminent. Bloomberg reported a"
neutral,"Some 250 people , of whom more than 200 are workers , will be retiring from the Raahe Works between 2008 and 2011 ."
neutral,The statutory negotiations at headquarters are part of this decrease .
neutral,"L+Ænnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish ."
neutral,The company has an annual turnover of EUR32 .8 m.
neutral,Wall Street Week Ahead: Financial sector key to final week of trading
neutral,"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina ."
neutral,"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device ."
neutral,"Australia, New Zealand dollars nurse losses as China concerns weighs"
neutral,The company has exported into about twenty European countries as well as to Africa .
neutral,"Consumption space would be largely favoured with the roll out of GST : Deven Choksey, KR Choksey Securities"
neutral,Sebi meet from January 27 to discuss risks of algorithmic trading
neutral,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 ."
neutral,H Kumar takes over as Managing Director of Mangalore Refinery and Petrochemicals Ltd
neutral,Here are the 10 big market stories that will dominate 2015
neutral,Carl Icahn says his firm sold remainder of Netflix stake
neutral,"IFC raises Rs 1,000 crore via Masala Bonds"
neutral,"CLSA sees deeper selloff if Nifty breaks below 7,752; 4 stocks that are likely to outperform"
neutral,"Thanks to SEBI, shareholders will have access to critical information from the next fiscal"
neutral,In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .
neutral,Mario Draghi gets ECB support for unlimited bond purchase
neutral,"Cencorp would focus on the development , manufacture and marketing of standard products for production automation ."
neutral,Action by Sebi under ordinance to remain valid: Government
neutral,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million ."
neutral,Over 50 companies moved to BSE dissemination board
neutral," Japan Display Inc, an ailing Apple supplier, is reportedly set to receive up to 80 billion yen in funding from a consortium of Chinese and Taiwanese investors, led by China's state-backed Silk Road Fund and Taiwanese panel maker TPK Holding Co. This would make the group the top share"
neutral,Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .
neutral,"At the moment , there are approximately 20 Vianor sales offices in Russia ."
neutral,Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .
neutral,"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares ."
neutral,"The venture , which will be 51 % owned by Kemira and 49 % by IVRCL , will operate an inorganic coagulant manufacturing facility , to be built in Vishakapatnam Vizag in the state of Andhra Pradesh and to kick off operations in the second half of 2011 ."
neutral,"Indian market retains trillion-dollar tag, for now"
neutral,Info Edge co-promoter and CFO Ambarish Raghuvanshi resigns
neutral,"RBI, bourses weigh dollar delivery in futures trade"
neutral,The shipyard hopes the regional government in Andalusia can offer its some form of financial support .
neutral," Apple will release a software patch this week to fix a FaceTime bug that lets users hear audio from recipients before they accept video calls. The issue, which can also broadcast video and audio, affects iPhone users and was first reported by Reuters. Apple's group FaceTime service has been temporarily taken offline due to the ongoing problem."
neutral,The financial details of the transaction were not disclosed .
neutral,"IRFC to raise Rs 10,000 crore through issue of tax-free bonds"
neutral,The company website is www.ahlstrom.com .
neutral,"The method utilises waterborne Ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer ."
neutral,"Auto, realty, bank stocks trading mixed ahead of RBI policy meet"
neutral,"All FIIs trying to create some alpha in market: Prateek Agarwal, ASK Investment Manager"
neutral,Pantaloons reports loss of Rs 15.66 crore in Q3
neutral,Ficci establishes centre for corporate governance
neutral,"E-commerce boom: Goldman, CLSA, Credit Suisse, HSBC, others join hunt for India's Alibaba"
neutral,"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital ."
neutral,"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry ."
neutral,The company expects its net sales for the whole 2009 to be at previous year levels .
neutral,Lemmink+Æinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .
neutral,"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council ."
neutral,"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses ."
neutral,"The platform is based built on Intel s second-generation MID platform , called Moorestown ."
neutral,Manu Anand set to take over as head of chocolate maker Cadbury India
neutral,Three Chinese asset managers commit funds to stock purchase plans
neutral,"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 ."
neutral,AkzoNobel India appoints Jayakumar Krishnaswamy as managing director
neutral,Universal Commodity Exchange goes live
neutral,China's CICC investment bank set to open up in HK debut
neutral,Panostaja did not disclose the purchase price .
neutral,Sodexo names Rishi Gour as COO of Onsite Services Solutions
neutral,The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .
neutral,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .
neutral,One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .
neutral,"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection ."
neutral,The closing of such transaction took place today .
neutral,"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing ."
neutral,"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 ."
neutral," Lumentum Holdings Inc expects Android smartphone makers to launch devices with facial recognition technology this year, including Huawei's Honor V20 and Samsung's Galaxy S10 5G. The company forecast slightly lower than expected revenue for the current quarter but expects new contracts and design wins from Android phone makers to help"
neutral,"Chart Check from IIFL Private Wealth for Monday, March 19: Idea, Ranbaxy"
neutral,"Same time next year, Sensex may be at 29,000"
neutral,"Finnish property investment company Citycon will expand and refurbish +_kersberga shopping center in Stockholm , in Sweden ."
neutral," Fears of a global economic slowdown led to a decline in the US dollar on Thursday, as the yen gained ground due to its status as a safe haven currency. The USD index slipped below 96, and USD JPY dropped to 107.61, while the yen strengthened by 4.4%."
neutral,"Nifty looks tightly range bound: Vineet Bhatnagar, MD, PhillipCapital"
neutral,Moser Baer postpones bondholders meet on debt restructuring
neutral,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries ."
neutral,Work on the assignment has already started and is due for completion in spring 2011 .
neutral,"Meanwhile , minority shareholders , expecting TeliaSonera to retain the bid , sell shares now ."
neutral,"PE funds Multiples, IVFA eye stake in Dodsal Group"
neutral,Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .
neutral,Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .
